GOL,JOGO,JOGADOR,ASSISTENCIA,MINUTO,TEMPO,SETOR,AREA,ESTILO,TIT/RES,RES,PLACAR,ADVERSÁRIO,CAMPEONATO,DATA,DIA-SEMANA,HORA,LINK,,,,,,,,
1,1,Giovanni Augusto,Guilherme Lazaroni,58,2T,Norte,DA,Pé Direito,TITULAR,D,0 x 1,Figueirense,Brasileiro,18/05/2014,DOM,16:00,https://www.youtube.com/watch?v=PdCA6y_mnxU,,,,,,,,
2,2,Edilson,Daniel Côrrea,87,2T,Norte,DA,Pé Direito,TITULAR,E,1 x 1,Botafogo,Brasileiro,01/06/2014,DOM,16:00,https://www.youtube.com/watch?v=uBZTPBOsYh4,,,,,,,,
3,3,Cláudio Winck,Wellington Silva,90+1,2T,Sul,DA,Cabeça,RESERVA,V,2 x 1,Internacional,Brasileiro,17/07/2014,QUI,19:30,https://www.youtube.com/watch?v=ueyaq-24FY8,,,,,,,,
4,6,Kieza,Emanuel Biancucchi,36,1T,Norte,DA,Cabeça,TITULAR,E,1 x 1,Bahia,Brasileiro,16/08/2014,SÁB,21:00,https://www.youtube.com/watch?v=sJUSPUOvvTc,,,,,,,,
5,7,Thiago Mendes,David França,11,1T,Norte,FA,Pé Direito,TITULAR,V,5 x 2,Goiás,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4,,,,,,,,
6,7,Jackson Souza,Lima,60,2T,Sul,DA,Cabeça,TITULAR,V,5 x 2,Goiás,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4,,,,,,,,
7,8,Fred,(Pênalti),43,1T,Norte,DA,Pé Direito,TITULAR,E,1 x 1,Fluminense,Brasileiro,31/08/2014,DOM,16:00,https://www.youtube.com/watch?v=DfukbGx49Mw,,,,,,,,
8,9,Guilherme Mattis,Geandro,90,2T,Sul,DA,Cabeça,TITULAR,V,3 x 1,Bragantino,Copa do Brasil,03/09/2014,QUA,22:00,https://www.youtube.com/watch?v=bPw_kThZkdc,,,,,,,,
9,11,(GC) Ferrugem,(GC),50,2T,Sul,DA,Pé Direito,(GC),E,1 x 1,Chapecoense,Brasileiro,18/09/2014,QUI,19:30,https://www.youtube.com/watch?v=Nn_-ZtdTytw,,,,,,,,
10,12,Souza,Rafael Tolói,6,1T,Norte,DA,Pé Esquerdo,TITULAR,V,3 x 2,São Paulo,Brasileiro,21/09/2014,DOM,16:00,https://www.youtube.com/watch?v=GfHhIms19ys,,,,,,,,
11,12,Édson Silva,Kaká,45,1T,Norte,DA,Pé Esquerdo,TITULAR,V,3 x 2,São Paulo,Brasileiro,21/09/2014,DOM,16:00,https://www.youtube.com/watch?v=GfHhIms19ys,,,,,,,,
12,15,Robinho,X,25,1T,Norte,DA,Pé Esquerdo,TITULAR,E,2 x 2,Coritiba,Brasileiro,01/11/2014,SÁB,21:30,https://www.youtube.com/watch?v=c9AQcDBNe5k,,,,,,,,
13,15,Alex,Joel Tagueu,32,1T,Norte,FA,Pé Esquerdo,TITULAR,E,2 x 2,Coritiba,Brasileiro,01/11/2014,SÁB,21:30,https://www.youtube.com/watch?v=c9AQcDBNe5k,,,,,,,,
14,18,Róger Guedes,Lucca,61,2T,Sul,DA,Pé Direito,TITULAR,V,2 x 1,Criciúma,Brasileiro,06/12/2014,SÁB,16:30,https://www.youtube.com/watch?v=h-qRoog_Mio,,,,,,,,
15,22,Rodrigo Andrade,Dênis,46,2T,Sul,DA,Pé Direito,TITULAR,V,2 x 1,Botafogo (SP),Paulista,14/02/2015,SÁB,17:00,https://www.youtube.com/watch?v=Yrn1viwMbtI,,,,,,,,
16,28,Crislan,X,75,2T,Sul,DA,Pé Esquerdo,RESERVA,V,5 x 3,Penapolense,Paulista,26/03/2015,QUI,19:30,https://www.youtube.com/watch?v=mG4ii0N87ZI,,,,,,,,
17,28,Crislan,João Lucas,79,2T,Sul,DA,Pé Direito,RESERVA,V,5 x 3,Penapolense,Paulista,26/03/2015,QUI,19:30,https://www.youtube.com/watch?v=mG4ii0N87ZI,,,,,,,,
18,28,Luiz Gustavo Domingues,Rodrigo Souza,90,2T,Sul,DA,Cabeça,TITULAR,V,5 x 3,Penapolense,Paulista,26/03/2015,QUI,19:30,https://www.youtube.com/watch?v=mG4ii0N87ZI,,,,,,,,
19,30,Ricardo Oliveira,Chiquinho,58,2T,Sul,DA,Cabeça,TITULAR,E,1 x 1,Santos,Paulista,05/04/2015,DOM,16:00,https://www.youtube.com/watch?v=661LPakJZzg,,,,,,,,
20,33,Victor Ramos,X,14,1T,Norte,DA,Pé Direito,TITULAR,E,2 x 2,Palmeiras,Paulista,19/04/2015,DOM,16:00,https://www.youtube.com/watch?v=weoT-FvGNtI,,,,,,,,
21,33,Rafael Marques,Dudu,75,2T,Sul,DA,Cabeça,TITULAR,E,2 x 2,Palmeiras,Paulista,19/04/2015,DOM,16:00,https://www.youtube.com/watch?v=weoT-FvGNtI,,,,,,,,
22,34,Fernando Fernández,Iván González,90+2,2T,Sul,DA,Pé Direito,RESERVA,D,0 x 1,Guaraní (PAR),Libertadores,13/05/2015,QUA,22:00,https://www.youtube.com/watch?v=Y3CFEH9AYOE,,,,,,,,
23,35,Rafael Marques,Kelvin,25,1T,Sul,DA,Cabeça,TITULAR,D,0 x 2,Palmeiras,Brasileiro,31/05/2015,DOM,16:00,https://www.youtube.com/watch?v=a_VI3-qMpeU,,,,,,,,
24,35,Zé Roberto,X,45+2,1T,Sul,DA,Cabeça,TITULAR,D,0 x 2,Palmeiras,Brasileiro,31/05/2015,DOM,16:00,https://www.youtube.com/watch?v=a_VI3-qMpeU,,,,,,,,
25,36,Nilmar,Rafael Moura,41,1T,Sul,DA,Pé Direito,TITULAR,V,2 x 1,Internacional,Brasileiro,13/06/2015,SÁB,16:30,https://www.youtube.com/watch?v=9hBRVRRHQwc,,,,,,,,
26,37,Thiago Santana,Clayton,73,2T,Sul,DA,Pé Direito,RESERVA,V,2 x 1,Figueirense,Brasileiro,27/06/2015,SÁB,21:00,https://www.youtube.com/watch?v=M0jAu5mghqo,,,,,,,,
27,42,André,Marlone,17,1T,Norte,DA,Cabeça,TITULAR,V,4 x 3,Sport,Brasileiro,12/08/2015,QUA,22:00,https://www.youtube.com/watch?v=A6tzQ35pP3Y,,,,,,,,
28,42,Hernane,X,72,2T,Sul,DA,Pé Direito,RESERVA,V,4 x 3,Sport,Brasileiro,12/08/2015,QUA,22:00,https://www.youtube.com/watch?v=A6tzQ35pP3Y,,,,,,,,
29,42,Hernane,Diego Souza,77,2T,Sul,DA,Pé Esquerdo,RESERVA,V,4 x 3,Sport,Brasileiro,12/08/2015,QUA,22:00,https://www.youtube.com/watch?v=A6tzQ35pP3Y,,,,,,,,
